version,topology,query_type,index_size,timeout_ms,iter,observed_ms,timed_out,error
old,sa,SEARCH,100000,2000,24,119.900,0,
old,sa,SEARCH,100000,2000,25,127.034,0,
old,sa,SEARCH,100000,2000,26,119.969,0,
old,sa,SEARCH,100000,2000,27,119.690,0,
old,sa,SEARCH,100000,2000,28,119.403,0,
old,sa,SEARCH,100000,2000,29,116.034,0,
old,sa,SEARCH,100000,2000,30,114.309,0,
old,sa,SEARCH,100000,2000,31,112.882,0,
old,sa,SEARCH,100000,2000,32,114.018,0,
old,sa,SEARCH,100000,2000,33,113.493,0,
old,sa,SEARCH,100000,2000,34,120.738,0,
old,sa,SEARCH,100000,2000,35,113.841,0,
old,sa,SEARCH,100000,2000,36,114.368,0,
old,sa,SEARCH,100000,2000,37,120.320,0,
old,sa,SEARCH,100000,2000,38,120.049,0,
old,sa,SEARCH,100000,2000,39,119.811,0,
old,sa,SEARCH,100000,2000,40,121.131,0,
old,sa,SEARCH,100000,2000,41,120.984,0,
old,sa,SEARCH,100000,2000,42,120.207,0,
old,sa,SEARCH,100000,2000,43,120.459,0,
old,sa,SEARCH,100000,2000,44,126.942,0,
old,sa,SEARCH,100000,2000,45,120.004,0,
old,sa,SEARCH,100000,2000,46,119.085,0,
old,sa,SEARCH,100000,2000,47,116.535,0,
old,sa,SEARCH,100000,2000,48,114.101,0,
old,sa,SEARCH,100000,2000,49,113.037,0,
old,sa,AGGREGATE,100000,50,0,190.832,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,1,177.300,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,2,187.680,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,3,205.815,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,4,190.136,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,5,184.788,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,6,172.392,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,7,168.265,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,8,163.677,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,9,157.172,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,10,156.999,1,Timeout limit was reached
