size,workers,selectivity,fields,contender,matches_mean,k,window,qps,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms
100000,6,selective,title+text,hybrid_rrf,8.0390625,10,20,2879.1499363268017,0.34732473893867183,0.3407290205359459,0.3999672830104828,0.45434214058332123,0.5137642199988506
100000,6,selective,title+text,search_branch,8.0390625,10,20,11809.195337910569,0.08467977464897558,0.0719579984433949,0.11988340993411838,0.22245980042498556,0.2588843801058848
100000,6,selective,title+text,vsim_branch,8.0390625,10,20,3665.7705732274267,0.27279394059830037,0.26649999199435115,0.3130628203507513,0.42301168898120495,0.7336718774168002
100000,6,medium,none,hybrid_linear,9260.43359375,100,200,400.29981132355,2.4981275826576166,2.3806455137673765,3.267128497827798,4.725373700493944,6.025653166521871
100000,6,medium,none,hybrid_rrf,9260.43359375,100,200,402.4200798925337,2.4849654626256474,2.363000006880611,3.2217753177974373,4.725985401892094,5.627206269768084
100000,6,medium,none,search_branch,9260.43359375,100,200,630.0748446411287,1.5871130366576836,1.4927079901099205,2.1363996784202754,3.064380913856432,3.994734166714021
100000,6,medium,none,vsim_branch,9260.43359375,100,200,1496.5546171372282,0.6682014732699221,0.6789580220356584,0.800220511155203,0.894360922975465,0.9676966546103418
100000,6,medium,title+text,hybrid_linear,9260.43359375,100,200,387.3357203919519,2.5817396830534562,2.4712085141800344,3.2906878215726465,4.719052514410564,5.676603537634959
100000,6,medium,title+text,hybrid_rrf,9260.43359375,100,200,374.8450774826058,2.66776879321939,2.546812524087727,3.4283586486708373,4.913602842134422,6.091604935063527
100000,6,medium,title+text,search_branch,9260.43359375,100,200,557.4785656230783,1.7937909395356353,1.6593130130786449,2.4795535777229816,3.7597759126219854,4.915692797629185
100000,6,medium,title+text,vsim_branch,9260.43359375,100,200,1399.8729896375419,0.7143505213704581,0.7239580154418945,0.8455830859020352,1.006168692256324,1.2300524201127723
100000,6,broad,none,hybrid_linear,100000.0,1000,2000,49.46698566431293,20.215503058667917,19.4316039851401,25.73739161598496,33.171504182973855,44.08472065196854
100000,6,broad,none,hybrid_rrf,100000.0,1000,2000,46.44749865754736,21.52968467415,20.699500513728708,27.495449682464823,34.66779985174069,45.65516908152556
100000,6,broad,none,search_branch,100000.0,1000,2000,88.06693327200553,11.354999689967372,10.526708007091656,16.364124719984826,22.168279998004436,35.017096512368894
100000,6,broad,none,vsim_branch,100000.0,1000,2000,121.50847987293302,8.229878285414694,8.270291960798204,9.202404483221471,9.951920820749361,10.835570673691217
100000,6,broad,title+text,hybrid_linear,100000.0,1000,2000,45.651230114620056,21.90521476615686,21.071229013614357,27.389821410179138,34.56903955491723,44.75750119233303
100000,6,broad,title+text,hybrid_rrf,100000.0,1000,2000,44.30425033444722,22.571197852375917,21.745750011177734,28.474928915966302,35.708058078889735,44.044426085311166
100000,6,broad,title+text,search_branch,100000.0,1000,2000,89.30626401305278,11.197422835355004,10.397270962130278,16.109312511980534,21.954753153841008,35.873190711310635
100000,6,broad,title+text,vsim_branch,100000.0,1000,2000,119.10286791853383,8.396103448021071,8.371354488190264,9.419403865467757,10.752989682368934,19.143277186726177
500000,0,selective,none,hybrid_linear,14.58203125,10,20,2829.599348407813,0.3534069233379948,0.3361460112500936,0.42855000356212253,0.6084677111357438,0.6668435885803794
500000,0,selective,none,hybrid_rrf,14.58203125,10,20,2653.6067295657804,0.3768455924000591,0.3546670195646584,0.47936218907125294,0.6837788299890218,0.9325284941005748
500000,0,selective,none,search_branch,14.58203125,10,20,10519.249691719499,0.09506381436949596,0.07120848749764264,0.13349229120649395,0.3925598977366458,0.4647518793353815
500000,0,selective,none,vsim_branch,14.58203125,10,20,4015.3371818888145,0.24904508754843846,0.24741701781749725,0.29875420732423663,0.35567821934819194,0.38921028224286575
500000,0,selective,title+text,hybrid_linear,14.58203125,10,20,2486.873672575291,0.4021112978225574,0.38156250957399607,0.5015880742575973,0.6857592007145283,0.9047262867679857
500000,0,selective,title+text,hybrid_rrf,14.58203125,10,20,2656.8357954239764,0.3763875816948712,0.35589549224823713,0.4588588955812156,0.6319220352452247,0.704555063275657
500000,0,selective,title+text,search_branch,14.58203125,10,20,8671.565181628604,0.11531943531008437,0.08716701995581388,0.15396218514069915,0.4934303002664816,0.5342983638984166
500000,0,selective,title+text,vsim_branch,14.58203125,10,20,3677.305324376624,0.27193825689998147,0.2703749923966825,0.31521307537332177,0.36595844489056617,0.40538538864348295
500000,0,medium,none,hybrid_linear,46688.31640625,100,200,88.81949203520296,11.25878990169925,10.647853516275063,15.410667308606206,22.45567417354323,52.4286376890391
500000,0,medium,none,hybrid_rrf,46688.31640625,100,200,94.15889204402494,10.620345867413562,10.092146025272086,14.57438359502703,20.89436777576334,25.02558969776146
500000,0,medium,none,search_branch,46688.31640625,100,200,120.73412932984613,8.282662123383489,7.78462496236898,11.803925002459437,17.770738014951316,21.614803566655823
500000,0,medium,none,vsim_branch,46688.31640625,100,200,1299.7565389835765,0.7693748559880381,0.7894375012256205,0.9102582989726216,1.0047131491592154,1.0940487653133473
500000,0,medium,title+text,hybrid_linear,46688.31640625,100,200,93.37354731668154,10.709671301320972,10.139395482838154,14.584883011411874,21.94622296781744,25.207050274068138
500000,0,medium,title+text,hybrid_rrf,46688.31640625,100,200,96.69137094701966,10.34218452180115,9.883416525553912,14.019021193962544,20.735411633504526,25.547527569462627
500000,0,medium,title+text,search_branch,46688.31640625,100,200,128.00663972930954,7.812094764104889,7.313291018363088,11.021850013639778,16.98722079047001,22.147925333119964
500000,0,medium,title+text,vsim_branch,46688.31640625,100,200,1284.942731883737,0.7782448004775991,0.8009164885152131,0.9141701855696738,0.9942675038473676,1.0583332430687817
500000,0,broad,none,hybrid_linear,500000.0,1000,2000,12.568967550376366,79.56102965434548,79.0610205149278,93.23637122288346,105.44172319408968,111.85794878820923
500000,0,broad,none,hybrid_rrf,500000.0,1000,2000,12.22599494534999,81.79293419226694,81.66331250686198,95.56204216787592,108.27972252271132,113.99157418299012
500000,0,broad,none,search_branch,500000.0,1000,2000,18.83200382989858,53.10109370370628,52.72810396854766,66.5744622121565,79.3185845192056,86.91930288815661
500000,0,broad,none,vsim_branch,500000.0,1000,2000,113.31442842071829,8.825001493076948,8.961958985310048,10.084704478504136,11.48917672107927,13.766657158034006
500000,0,broad,title+text,hybrid_linear,500000.0,1000,2000,12.186769686611628,82.05619911719502,81.56287501333281,95.65678690560162,109.39911386813033,120.0914228080075
500000,0,broad,title+text,hybrid_rrf,500000.0,1000,2000,12.097899788016244,82.65897531987866,82.50920797581784,96.17610001005232,107.83864541037474,115.06338700460132
500000,0,broad,title+text,search_branch,500000.0,1000,2000,19.168096223885392,52.17002191140394,51.61633298848756,65.5022166611161,77.77350962569467,85.33495604310907
500000,0,broad,title+text,vsim_branch,500000.0,1000,2000,111.90000434762965,8.936550144300176,9.04927053488791,10.239987500244752,11.218953988282005,12.048353968712066
500000,6,selective,none,hybrid_linear,14.58203125,10,20,2434.4665998659125,0.4107675989701723,0.39758349885232747,0.4752173263113946,0.63466741819866,0.7066271633957517
500000,6,selective,none,hybrid_rrf,14.58203125,10,20,2813.5606251792983,0.35542152212777484,0.3375834785401821,0.4299830470699817,0.588060825830324,0.6637302722665527
500000,6,selective,none,search_branch,14.58203125,10,20,9874.058643876298,0.10127547709271312,0.07624999852851033,0.14387501869350672,0.38525168260093773,0.45159471681108937
500000,6,selective,none,vsim_branch,14.58203125,10,20,3775.610704753373,0.26485781458904967,0.2626249915920198,0.3146500326693058,0.3726270364131778,0.49199612013763594
500000,6,selective,title+text,hybrid_linear,14.58203125,10,20,2228.8081778185588,0.44867028484198573,0.4321250016801059,0.5249368899967521,0.6983979692449788,0.8195025528548291
500000,6,selective,title+text,hybrid_rrf,14.58203125,10,20,2608.070708500622,0.38342518733891967,0.367750006262213,0.45299968915060157,0.5932708649197589,1.027617786021487
500000,6,selective,title+text,search_branch,14.58203125,10,20,7834.337523126889,0.12764321131786951,0.09870799840427935,0.16237046220339832,0.505629617255181,0.533458937017713
500000,6,selective,title+text,vsim_branch,14.58203125,10,20,3038.450966914389,0.3291150691220537,0.3277920186519623,0.38796631852164865,0.456295337062329,0.5712678504642221
500000,6,medium,none,hybrid_linear,46688.31640625,100,200,95.85544093665644,10.432375984382816,9.78149997536093,14.8655294731725,21.335773357423008,25.94743187044533
500000,6,medium,none,hybrid_rrf,46688.31640625,100,200,103.03786194742368,9.705170323800607,9.169916476821527,13.768495159456506,20.763165901880708,24.89262724696898
