size,workers,fields,contender,matches_mean,balance_ratio,balanced,k,window,qps,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms
100000,2,title+text,vsim_branch,5626.5625,1.03,True,50,100,1973.0870908031504,0.5068200003239326,0.510000012582168,0.5941334122326225,0.6966399785596881,0.7880047128419402
100000,2,none,hybrid_linear,12625.46875,0.92,True,250,500,301.71876729744486,3.3143447090056726,3.1617290223948658,4.058687202632427,5.426488888915642,8.287466774112547
100000,2,none,hybrid_rrf,12625.46875,0.92,True,250,500,303.2553235433104,3.2975513449055143,3.152228979161009,4.031642264453694,5.66588040208444,8.100877017655884
100000,2,none,search_branch,12625.46875,0.92,True,250,500,656.6727686590684,1.5228284889017232,1.367250515613705,2.2780793718993664,3.3303804689785914,5.857397063635311
100000,2,none,vsim_branch,12625.46875,0.92,True,250,500,692.5574735353952,1.443923483917024,1.4607499761041254,1.6940829867962748,1.8734167027287194,2.039675805659501
100000,2,title+text,hybrid_linear,12625.46875,0.92,True,250,500,271.56154489809694,3.6824065070599317,3.5428540140856057,4.310933325905353,5.884901659446772,8.40089509414975
100000,2,title+text,hybrid_rrf,12625.46875,0.92,True,250,500,261.04437095198045,3.830766380263958,3.6845830036327243,4.545949958264828,6.127178153255959,8.43290333473125
100000,2,title+text,search_branch,12625.46875,0.92,True,250,500,627.4523002723041,1.5937466474599205,1.4057289808988571,2.3185707919765273,3.6269141669617975,5.968435948132559
100000,2,title+text,vsim_branch,12625.46875,0.92,True,250,500,665.1289520007736,1.5034678568597883,1.5195834857877344,1.7571333155501634,1.924977963790298,2.0987365900655335
500000,2,none,hybrid_linear,1336.15625,0.97,True,10,20,2324.090126634101,0.4302759125130251,0.3902500029653311,0.5968749755993485,0.889679098618217,1.0537110539153223
500000,2,none,hybrid_rrf,1336.15625,0.97,True,10,20,2394.4475884209637,0.41763286230852825,0.3733329940587282,0.5947999889031055,0.8593779156217353,1.0886540787178152
500000,2,none,search_branch,1336.15625,0.97,True,10,20,4236.7814881491695,0.23602822161046788,0.2156250411644578,0.35056696506217133,0.4757940617855639,0.755909654486483
500000,2,none,vsim_branch,1336.15625,0.97,True,10,20,4303.088123710631,0.2323912435094826,0.22354198154062033,0.2652542374562472,0.31587623932864517,0.33350001933285967
500000,2,title+text,hybrid_linear,1336.15625,0.97,True,10,20,2027.243386797401,0.4932806817931123,0.4525205004028976,0.6735208036843688,1.0027442447608346,1.2362203920492927
500000,2,title+text,hybrid_rrf,1336.15625,0.97,True,10,20,2099.749478534338,0.4762472905567847,0.43710399768315256,0.6340041989460588,0.9628409211291002,1.1928052615257938
500000,2,title+text,search_branch,1336.15625,0.97,True,10,20,3051.041617783623,0.3277569188736379,0.30658298055641353,0.4512000246904793,0.5725020839599892,0.6836003869539162
500000,2,title+text,vsim_branch,1336.15625,0.97,True,10,20,3172.9760947356085,0.31516152978874745,0.3138959873467684,0.35954612540081143,0.4121682996628806,0.46283853525528795
500000,2,none,hybrid_linear,4721.875,1.01,True,50,100,819.2576309603197,1.2206172542180866,0.9635624883230776,2.6345791760832085,3.8816758460598075,4.75531779462473
500000,2,none,hybrid_rrf,4721.875,1.01,True,50,100,813.837354816354,1.2287467441521585,0.9786250011529773,2.655762468930334,3.849127949797551,4.435500679595862
500000,2,none,search_branch,4721.875,1.01,True,50,100,1349.921870931656,0.7407836123951711,0.5747289978899062,1.723808079259471,2.353625086834655,3.389778394193928
500000,2,none,vsim_branch,4721.875,1.01,True,50,100,2047.5682775017647,0.48838420236716046,0.4933125164825469,0.5819830344989897,0.6908409448806199,0.8513395249028703
500000,2,title+text,hybrid_linear,4721.875,1.01,True,50,100,739.2190762601434,1.3527789421495982,1.0938335035461932,2.7587743999902163,4.039250822970646,4.711250726832077
500000,2,title+text,hybrid_rrf,4721.875,1.01,True,50,100,734.8792834878204,1.3607677103835158,1.0968959832098335,2.754078613361345,4.129809387377465,5.9758617288317
500000,2,title+text,search_branch,4721.875,1.01,True,50,100,1183.8218053132255,0.8447217271314003,0.6544585048686713,1.849637815030293,2.538548632292077,3.1389446837712054
500000,2,title+text,vsim_branch,4721.875,1.01,True,50,100,1739.1897184605857,0.5749804000020958,0.5828750145155936,0.6639041181188078,0.7578091125469658,0.9469652753905408
500000,2,none,hybrid_linear,10757.96875,1.1,False,250,500,262.2530129591517,3.813111577695236,3.7073334970045835,4.488416307140142,5.595700473058984,6.878694431798073
500000,2,none,hybrid_rrf,10757.96875,1.1,False,250,500,264.1219890933243,3.7861292936373503,3.69504201808013,4.4631291180849075,5.651420791400599,7.103324147465179
500000,2,none,search_branch,10757.96875,1.1,False,250,500,543.5609322169066,1.8397201504558325,1.7809165001381189,2.2677371569443494,3.2309737586183496,4.745746171625805
500000,2,none,vsim_branch,10757.96875,1.1,False,250,500,615.4667303321344,1.6247831941465847,1.6611249884590507,1.9309706112835556,2.1443055971758445,2.2615025747218174
500000,2,title+text,hybrid_linear,10757.96875,1.1,False,250,500,242.84731031042335,4.117813776573167,4.011374985566363,4.742204415379092,5.6701910583069575,7.090118171705406
500000,2,title+text,hybrid_rrf,10757.96875,1.1,False,250,500,245.88737598278405,4.066902564652264,3.94475000211969,4.681312519824132,5.627587835188027,7.016087884956506
500000,2,title+text,search_branch,10757.96875,1.1,False,250,500,545.1435547653355,1.8343792038969695,1.770188013324514,2.2462881112005566,3.0663377401651815,4.636641835619233
500000,2,title+text,vsim_branch,10757.96875,1.1,False,250,500,589.8701103902682,1.69528847518377,1.734166988171637,2.0065083692315966,2.2136291745118797,2.399472509860064
