version,topology,query_type,index_size,timeout_ms,n,timeout_frac,observed_mean_ms,observed_p50_ms,observed_p95_ms,observed_p99_ms,observed_max_ms,server_mean_ms,server_overshoot_mean_ms,overshoot_mean_ms,overshoot_p50_ms,overshoot_p95_ms,overshoot_p99_ms,overshoot_max_ms
new,cluster5,HYBRID,100000,2000,50,0.000,4.24,4.21,4.88,5.07,5.07,3.83,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster5,HYBRID,100000,50,50,0.000,4.51,4.28,6.62,7.93,7.93,4.09,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster5,HYBRID,100000,500,50,0.000,4.15,4.11,5.04,5.39,5.39,3.75,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster5,SEARCH,100000,100,50,1.000,102.94,102.10,109.25,112.30,112.30,0.12,0.00,2.94,2.10,9.25,12.30,12.30
new,cluster5,SEARCH,100000,1000,50,0.000,130.80,130.42,136.67,139.97,139.97,107.14,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster5,SEARCH,100000,2000,50,0.000,132.46,133.31,138.05,138.93,138.93,108.63,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster5,SEARCH,100000,50,50,1.000,58.56,58.59,69.12,73.41,73.41,0.12,0.00,8.56,8.59,19.12,23.41,23.41
new,cluster5,SEARCH,100000,500,50,0.100,174.87,131.26,501.39,506.03,506.03,103.41,0.00,0.23,0.00,1.39,6.03,6.03
new,cluster7,AGGREGATE,100000,100,50,0.480,354.20,562.36,592.93,642.39,642.39,72.79,0.00,254.20,462.36,492.93,542.39,542.39
new,cluster7,AGGREGATE,100000,1000,50,0.000,567.57,562.94,607.03,628.08,628.08,142.45,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster7,AGGREGATE,100000,2000,50,0.000,567.55,564.82,599.86,623.87,623.87,141.76,0.00,0.00,0.00,0.00,0.00,0.00
new,cluster7,AGGREGATE,100000,50,50,1.000,61.38,60.17,79.02,89.25,89.25,0.14,0.00,11.38,10.17,29.02,39.25,39.25
new,cluster7,AGGREGATE,100000,500,50,0.000,568.49,565.98,585.38,618.75,618.75,142.12,0.00,68.49,65.98,85.38,118.75,118.75
